k,method,coeff,logp_A,logp_B,logit_diff_A_minus_B,p_A,p_B,top_token_id,top_token,idx,top_is_A,top_is_B,delta_vs_base,p_other
-2.0,exp08/pca_center,-5.517021179199219,-11.062688287347555,-7.835478542372584,-3.227209744974971,1.5686841981607295e-05,0.0003954530286153534,5690,"   
",0,False,False,-2.2272095363593962,0.9995888601294031
-1.5,exp08/pca_center,-4.137765884399414,-9.698331899940968,-5.736785285174847,-3.961546614766121,6.138580736480042e-05,0.003225119467692304,661,ory,0,False,False,-2.9615464061505463,0.9967134947249429
-1.0,exp08/pca_center,-2.7585105895996094,-9.060650065541267,-7.067267462611198,-1.993382602930069,0.00011614744858496857,0.0008525595800634695,248046,<|im_end|>,0,False,False,-0.9933823943144944,0.9990312929713515
-0.5,exp08/pca_center,-1.3792552947998047,-3.3193825492999167,-2.3193644304483314,-1.0000181188515853,0.03617516123829137,0.09833606515605207,198,"
",0,False,False,-1.7910236010720837e-05,0.8654887736056566
0.0,exp08/pca_center,0.0,-1.337977886204044,-0.3379776775884693,-1.0000002086155746,0.2623756860163574,0.7132112083146909,33,B,0,False,True,0.0,0.024413105668951718
0.5,exp08/pca_center,1.3792552947998047,-1.0925648213669774,-0.7175577285506733,-0.37500709281630407,0.3353552633828323,0.48794248994322104,33,B,0,False,True,0.6249931157992705,0.17670224667394668
1.0,exp08/pca_center,2.7585105895996094,-2.377224217329058,-2.6894883639761247,0.3122641466470668,0.09280783467939822,0.06791567859183893,248068,<think>,0,False,False,1.3122643552626414,0.8392764867287629
1.5,exp08/pca_center,4.137765884399414,-5.890591354807839,-7.3263079018797725,1.4357165470719337,0.0027653409156531777,0.0006579985028932465,1919,This,0,False,False,2.4357167556875083,0.9965766605814536
2.0,exp08/pca_center,5.517021179199219,-7.261431945487857,-8.906216407194734,1.6447844617068768,0.0007021019437336922,0.00013554370721358355,12,-,0,False,False,2.6447846703224513,0.9991623543490528
-2.0,exp08/pca_center,-5.517021179199219,-11.01961163058877,-8.77458256110549,-2.24502906948328,1.637734418113824e-05,0.00015461342924829308,5690,"   
",1,False,False,-2.620026923728801,0.9998290092265706
-1.5,exp08/pca_center,-4.137765884399414,-9.895947761833668,-6.7717405036091805,-3.1242072582244873,5.037841432483998e-05,0.0011456988215971878,248046,<|im_end|>,1,False,False,-3.4992051124700083,0.9988039227640779
-1.0,exp08/pca_center,-2.7585105895996094,-9.023538380861282,-8.371277555823326,-0.6522608250379562,0.00012053885837686335,0.00023141971319969544,248046,<|im_end|>,1,False,False,-1.0272586792834772,0.9996480414284235
-0.5,exp08/pca_center,-1.3792552947998047,-3.0679153438541107,-4.317751837486867,1.2498364936327562,0.04651802794165678,0.013329817477620638,248046,<|im_end|>,1,False,False,0.8748386393872352,0.9401521545807225
0.0,exp08/pca_center,0.0,-0.549051225196763,-0.924049079442284,0.374997854245521,0.5774974655829545,0.3969086682917621,32,A,1,True,False,0.0,0.02559386612528347
0.5,exp08/pca_center,1.3792552947998047,-0.7319505215928075,-1.231932998256525,0.49998247666371753,0.4809699323232123,0.2917281223591399,32,A,1,True,False,0.12498462241819652,0.2273019453176478
1.0,exp08/pca_center,2.7585105895996094,-3.0764373616984813,-4.5136808879324235,1.4372435262339422,0.04612328487021056,0.010958050493851514,1919,This,1,False,False,1.0622456719884212,0.9429186646359379
1.5,exp08/pca_center,4.137765884399414,-6.43338697811123,-8.244469409110025,1.8110824309987947,0.0016069987370841558,0.000262707474489488,1919,This,1,False,False,1.4360845767532737,0.9981302937884263
2.0,exp08/pca_center,5.517021179199219,-7.445508100092411,-9.24686361849308,1.801355518400669,0.000584059264432363,9.641356808394162e-05,12,-,1,False,False,1.426357664155148,0.9993195271674836
