idx,baseline,SU −3.0σ,SU −2.0σ,SU −1.5σ,SU −1.0σ,SU −0.75σ,SU −0.5σ,SU +0.5σ,SU +1.0σ,SU +1.5σ,SU +2.0σ,SU +3.0σ,SU +5.0σ,refusal −0.5σ,refusal −0.25σ,refusal +0.25σ,refusal +0.5σ
0,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
1,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
2,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
3,0.0,,,,,,0.0,0.0,0.0,,,,,,1.0,0.0,
4,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,1.0
5,0.0,,,,,1.0,0.0,0.0,,,,,,,0.0,0.0,
6,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
7,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
8,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
9,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
10,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,1.0
11,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,0.0
12,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,1.0,0.0,
13,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
14,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,1.0,0.0,
15,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
16,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
17,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
18,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
19,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
20,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
21,0.0,,,,,1.0,0.0,0.0,0.0,,,,,,1.0,0.0,1.0
22,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
23,0.0,,,,,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
24,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
25,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
26,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
27,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
28,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,1.0,0.0,0.0,
29,0.0,,,,1.0,1.0,0.0,0.0,0.0,,,,,,0.0,0.0,
