condition,refused,complied,degenerate
baseline,1.0,0.0,0.0
SU −1.0σ,0.0,0.7666666666666667,0.23333333333333334
SU −0.9σ,0.0,0.8333333333333334,0.16666666666666666
SU −0.85σ,0.0,0.9,0.1
SU −0.8σ,0.0,0.9,0.1
SU −0.75σ,0.0,0.9666666666666667,0.03333333333333333
SU −0.7σ,0.0,1.0,0.0
SU −0.65σ,0.0,0.8,0.2
SU −0.6σ,0.16666666666666666,0.5666666666666667,0.26666666666666666
SU −0.5σ,1.0,0.0,0.0
SU +0.5σ,1.0,0.0,0.0
SU +1.0σ,0.9666666666666667,0.0,0.03333333333333333
refusal −0.5σ,0.0,0.43333333333333335,0.5666666666666667
refusal −0.4σ,0.0,0.8666666666666667,0.13333333333333333
refusal −0.3σ,0.6,0.4,0.0
refusal −0.25σ,0.8666666666666667,0.13333333333333333,0.0
refusal +0.25σ,1.0,0.0,0.0
refusal +0.3σ,1.0,0.0,0.0
refusal +0.4σ,0.6666666666666666,0.03333333333333333,0.3
