idx,condition,method,k,logp_A,logp_B,logit_diff_A_minus_B,p_A,p_B,top_token_id,top_token
0,baseline,,0.0,-9.000374317174874,-0.00037531866428253124,-8.999998998510591,0.00012336361832206383,0.9996247517589567,33,B
1,baseline,,0.0,-7.75109839440438,-0.0010998122218097706,-7.74999858218257,0.0004302696751233157,0.9989007923499931,33,B
2,baseline,,0.0,-8.751947402958194,-0.00194859865791841,-8.749998804300276,0.00015815303734015317,0.9980532986278968,33,B
3,baseline,,0.0,-7.875933289534942,-0.00093416171557692,-7.874999127819365,0.00037977435299140595,0.999066274477643,33,B
4,baseline,,0.0,-7.877669811314263,-0.0026725309844550793,-7.874997280329808,0.00037911543883118376,0.9973310370472102,33,B
5,baseline,,0.0,-7.751323103919276,-0.0013242476939012704,-7.749998856225375,0.0004301730002956279,0.9986766287351637,33,B
6,baseline,,0.0,-9.000584006315648,-0.0005845490995852742,-8.999999457216063,0.000123337753022866,0.9994156217159547,33,B
7,baseline,,0.0,-7.50147366526835,-0.0014760239441784506,-7.499997641324171,0.0005522699091898892,0.9985250648434054,33,B
8,baseline,,0.0,-9.000422596932935,-0.00042322202443756396,-8.999999374908498,0.0001233576625001916,0.9995768675213704,33,B
9,baseline,,0.0,-8.069851040914727,-0.007354741950621246,-8.062496298964106,0.0003128298764474634,0.992672237979964,33,B
0,SU −1.0σ,SU,-1.0,-16.65213209972717,-9.20035233721137,-7.451779762515798,5.862338844744587e-08,0.000101003808166867,248045,<|im_start|>
1,SU −1.0σ,SU,-1.0,-16.165167325059883,-8.410613697487861,-7.754553627572022,9.540190166839351e-08,0.0002224932714503413,248045,<|im_start|>
2,SU −1.0σ,SU,-1.0,-16.057038813829422,-8.037189167458564,-8.019849646370858,1.0629593280266445e-07,0.0003232161810441938,248045,<|im_start|>
3,SU −1.0σ,SU,-1.0,-16.567069271346554,-8.780330094043165,-7.786739177303389,6.38282936127737e-08,0.0001537273323459334,248045,<|im_start|>
4,SU −1.0σ,SU,-1.0,-16.514827793696895,-8.595336188562214,-7.919491605134681,6.725141393048263e-08,0.00018496643374537678,248045,<|im_start|>
5,SU −1.0σ,SU,-1.0,-16.405971080064774,-8.400450142566115,-8.005520937498659,7.498549965281403e-08,0.00022476612460333418,248045,<|im_start|>
6,SU −1.0σ,SU,-1.0,-16.431954806903377,-8.542084873653948,-7.889869933249429,7.306219246675742e-08,0.00019508311222745525,248045,<|im_start|>
7,SU −1.0σ,SU,-1.0,-16.823774266289547,-9.596445912495255,-7.227328353794292,4.9377337834976476e-08,6.796987861319716e-05,248045,<|im_start|>
8,SU −1.0σ,SU,-1.0,-16.827933077933267,-9.540252704173326,-7.28768037375994,4.9172413204282345e-08,7.189867626588339e-05,248045,<|im_start|>
9,SU −1.0σ,SU,-1.0,-17.3508735653013,-9.803463811054826,-7.547409754246473,2.9148174067626852e-08,5.525985783909033e-05,248045,<|im_start|>
0,SU −0.5σ,SU,-0.5,-10.225889802038182,-1.3508689408408827,-8.8750208611973,3.622033697328078e-05,0.25901509403821377,248045,<|im_start|>
