condition,mean,median,min,max
baseline,-7.883332436694699,-7.999998915277217,-9.624999328721287,-3.124997898951733
SU −0.7σ,-7.918633133439774,-8.016575551751885,-8.375994086032733,-6.6569405054615345
SU −0.5σ,-8.233347178270378,-8.312514424068468,-9.437512636042811,-4.625018238715711
SU −0.3σ,-8.579166905926053,-8.62500040400468,-10.249999776046025,-4.250000057741829
SU −0.15σ,-8.370833238101694,-8.437500302097419,-9.999999773834304,-3.749999625609462
SU +0.15σ,-6.879162928763731,-6.999997428987172,-8.374998065420414,-2.4999946058760543
SU +0.3σ,-5.83540872468299,-5.937492331840986,-6.999994843341483,-1.8749938013152132
SU +0.5σ,-4.4687533215174575,-4.500017395479517,-5.3749998807907104,-1.2499999701976776
SU +0.7σ,-3.0584678961713507,-3.0626151560936705,-3.6877100855926983,-0.8751154707570095
refusal −0.15σ,-4.5291633113358705,-4.562496525266397,-5.874997342024017,-1.1249980032771418
refusal −0.1σ,-5.712496329606067,-5.749997517354132,-7.124997288000259,-1.6249983460147632
refusal −0.05σ,-6.9624979571435,-6.999998254942284,-8.374999077470648,-2.4999949486082187
refusal +0.05σ,-8.229166381212357,-8.374999198482215,-9.875000119064168,-3.6249996982523953
refusal +0.1σ,-7.947916850028075,-8.062500159721282,-9.250000058673152,-3.8749999664723873
