idx,condition,method,k,logp_A,logp_B,logit_diff_A_minus_B,p_A,p_B,top_token_id,top_token
0,baseline,,0.0,-8.501209497458149,-0.0012100728968107433,-8.499999424561338,0.00020322242330085007,0.9987906589461728,33,B
1,baseline,,0.0,-7.876220703129093,-0.0012215038318572624,-7.8749991992972355,0.0003796652163640727,0.9987792419002792,33,B
2,baseline,,0.0,-8.750429511080256,-0.00043108582440254395,-8.749998425255853,0.00015839327883518384,0.9995690070797411,33,B
3,baseline,,0.0,-7.87665009504326,-0.0016522916612302652,-7.87499780338203,0.000379502226185912,0.9983490726211357,33,B
4,baseline,,0.0,-6.377482771879613,-0.002482897839627185,-6.374999874039986,0.0016993953428265463,0.9975201820017093,33,B
5,baseline,,0.0,-7.2521530390004045,-0.002154162633814849,-7.24999887636659,0.0007086470005396022,0.9978481559093731,33,B
6,baseline,,0.0,-7.751340389267625,-0.001341390433935885,-7.749998998833689,0.0004301655646697313,0.9986595088280802,33,B
7,baseline,,0.0,-9.625294685365589,-0.00029535664430113684,-9.624999328721287,6.603704501034107e-05,0.9997046869691786,33,B
8,baseline,,0.0,-8.87560629845143,-0.0006067090459964675,-8.874999589405434,0.0001397568685287836,0.9993934749647212,33,B
9,baseline,,0.0,-8.126781821292752,-0.0017833155889093177,-8.124998505703843,0.00029551770092853247,0.9982182735735358,33,B
10,baseline,,0.0,-7.376423120507297,-0.001423651591039743,-7.374999468916258,0.0006258354251764828,0.9985773613201521,33,B
11,baseline,,0.0,-8.500751376154085,-0.0007515694023823016,-8.499999806751703,0.00020331554515135077,0.9992487129551595,33,B
12,baseline,,0.0,-3.1692421436655422,-0.04424424471380917,-3.124997898951733,0.04203544266153835,0.9567202550690254,33,B
13,baseline,,0.0,-9.000983953480727,-0.000984658373226921,-8.9999992951075,0.00012328843430129617,0.9990158262437553,33,B
14,baseline,,0.0,-7.251587867740909,-0.001588271118407647,-7.2499995966225015,0.000709047620656259,0.9984129895166667,33,B
