idx,condition,method,k,logp_A,logp_B,logit_diff_A_minus_B,p_A,p_B,top_token_id,top_token
0,baseline,,0.0,-9.000393152243305,-0.0003939080379495863,-8.999999244205355,0.0001233612947817529,0.9996061695336359,33,B
1,baseline,,0.0,-7.876055717481904,-0.0010570620722774038,-7.874998655409627,0.0003797278608430874,0.9989434964210302,33,B
2,baseline,,0.0,-8.751946926122628,-0.0019481222868762416,-8.749998803835751,0.00015815311275316432,0.9980537740717,33,B
3,baseline,,0.0,-7.875869989401508,-0.0008710380679985974,-7.8749989513335095,0.00037979839351950126,0.9991293411755395,33,B
4,baseline,,0.0,-7.877880334911424,-0.0028819933477279847,-7.874998341563696,0.00037903563448590534,0.9971221556083885,33,B
5,baseline,,0.0,-7.751347541820451,-0.001348296071682853,-7.749999245748768,0.00043016248789880967,0.9986526124710915,33,B
6,baseline,,0.0,-9.125518321996651,-0.000519258788017396,-9.124999063208634,0.00010885233467108445,0.9994808760034954,33,B
7,baseline,,0.0,-7.376672029526162,-0.0016738361637180788,-7.374998193362444,0.0006256796684802587,0.9983275639187549,33,B
8,baseline,,0.0,-8.875440120699977,-0.0004410955021967311,-8.87499902519778,0.0001397800949407488,0.9995590017661222,33,B
9,baseline,,0.0,-8.00743854054872,-0.00744170095276786,-7.999996839595951,0.0003329765334627752,0.99258591994581,33,B
0,SU −0.3σ,SU,-0.3,-9.625265359878767,-0.0002653244594625903,-9.625000035419305,6.60389816072299e-05,0.999734710735959,33,B
1,SU −0.3σ,SU,-0.3,-8.375571727753595,-0.0005715634919170043,-8.375000164261678,0.00023042808779194808,0.9994285998193799,33,B
2,SU −0.3σ,SU,-0.3,-9.500400185585931,-0.00040046245067060227,-9.49999972313526,7.482188125720375e-05,0.999599617723714,33,B
3,SU −0.3σ,SU,-0.3,-8.25057160854351,-0.0005715638984042926,-8.250000044645105,0.00026110926235144844,0.9994285994131249,33,B
4,SU −0.3σ,SU,-0.3,-8.500952124598825,-0.0009517879848317534,-8.500000336613994,0.00020327473396839792,0.9990486648216823,33,B
5,SU −0.3σ,SU,-0.3,-8.250566720962752,-0.0005662024491357442,-8.250000518513616,0.00026111053854717354,0.9994339578132225,33,B
6,SU −0.3σ,SU,-0.3,-9.750223278999613,-0.00022301549370240537,-9.75000026350591,5.828164920965692e-05,0.9997770093724042,33,B
7,SU −0.3σ,SU,-0.3,-8.500408887863841,-0.0004083270044930032,-8.500000560859348,0.00020338519027042771,0.9995917563496327,33,B
8,SU −0.3σ,SU,-0.3,-9.500344753265495,-0.00034469363174594037,-9.500000059633749,7.482602892265758e-05,0.9996553657682788,33,B
9,SU −0.3σ,SU,-0.3,-8.253183722515587,-0.0031836363677939516,-8.250000086147793,0.0002604281052163588,0.9968214260287657,33,B
0,SU −0.15σ,SU,-0.15,-9.375190973283338,-0.0001910739387085414,-9.37499989934463,8.480203877619297e-05,0.9998089443147539,33,B
1,SU −0.15σ,SU,-0.15,-8.125593066217561,-0.0005931274522481544,-8.124999938765313,0.00029586920798182277,0.9994070484130673,33,B
2,SU −0.15σ,SU,-0.15,-9.25072395801692,-0.0007247671610457473,-9.249999190855874,9.604209644107785e-05,0.9992754954192328,33,B
3,SU −0.15σ,SU,-0.15,-8.250512361527967,-0.0005128252101940234,-8.249999536317773,0.0002611247327542563,0.999487306262179,33,B
4,SU −0.15σ,SU,-0.15,-8.376034379018165,-0.0010345542209506675,-8.374999824797214,0.0002303215046030634,0.9989659807457675,33,B
5,SU −0.15σ,SU,-0.15,-8.250621795656116,-0.0006218396025587936,-8.249999956053557,0.00026109615836032474,0.9993783536996171,33,B
6,SU −0.15σ,SU,-0.15,-9.50026834011203,-0.0002679461337038447,-9.500000393978326,7.483174683394788e-05,0.9997320897606554,33,B
7,SU −0.15σ,SU,-0.15,-8.125641942035145,-0.000642686450646579,-8.124999255584498,0.0002958547474857721,0.9993575200280543,33,B
8,SU −0.15σ,SU,-0.15,-9.375228881836392,-0.00022921297977518407,-9.374999668856617,8.47988241145389e-05,0.9997708132875129,33,B
9,SU −0.15σ,SU,-0.15,-8.377353429841605,-0.0023554046911158366,-8.37499802515049,0.00023001789911231715,0.9976473670978583,33,B
0,SU +0.15σ,SU,0.15,-7.876608014181329,-0.001611468888768286,-7.874996545292561,0.00037951819630271044,0.99838982883005,33,B
1,SU +0.15σ,SU,0.15,-6.8784160615177825,-0.003420420281145198,-6.874995641236637,0.0010297738525096762,0.9965854226925975,33,B
2,SU +0.15σ,SU,0.15,-7.445790171685076,-0.00829305130719149,-7.437497120377884,0.0005838945411384071,0.9917412411808696,33,B
3,SU +0.15σ,SU,0.15,-7.002601027550554,-0.0026048843556054635,-6.999996143194949,0.0009095132173643565,0.9973985054116915,33,B
4,SU +0.15σ,SU,0.15,-7.13381970014234,-0.00883003279886907,-7.1249896673434705,0.0007976667133953142,0.9912088374480906,33,B
5,SU +0.15σ,SU,0.15,-7.003803014924415,-0.003808936877248925,-6.999994078047166,0.0009084206507179246,0.9961983079215725,33,B
6,SU +0.15σ,SU,0.15,-8.00193023688189,-0.001933595316586434,-7.999996641565303,0.00033481573009948957,0.9980682728745353,33,B
7,SU +0.15σ,SU,0.15,-6.380949259082627,-0.005956181463261601,-6.374993077619365,0.0016935146092504551,0.9940615214209149,33,B
8,SU +0.15σ,SU,0.15,-8.001574873966092,-0.001578744051130343,-7.999996129914962,0.00033493473233683137,0.998422501509699,33,B
9,SU +0.15σ,SU,0.15,-7.205662966178352,-0.018168514852732187,-7.18749445132562,0.0007423698668286148,0.9819955375811292,33,B
0,SU +0.3σ,SU,0.3,-6.756098986192228,-0.006108167373895412,-6.749990818818333,0.0011637601749211006,0.9939104495560439,33,B
1,SU +0.3σ,SU,0.3,-5.8859392413105525,-0.010949423092824873,-5.874989818217728,0.0027782355658840115,0.9891103036503199,33,B
2,SU +0.3σ,SU,0.3,-6.276545286847977,-0.02655254533783591,-6.249992741510141,0.0018798838483377635,0.9737968740054507,33,B
3,SU +0.3σ,SU,0.3,-6.132781744523527,-0.007792619288011338,-6.1249891252355155,0.0021705346820478214,0.9922376644553887,33,B
4,SU +0.3σ,SU,0.3,-6.210559254483087,-0.023079857099219225,-6.187479397383868,0.0020081141031622835,0.977184445542142,33,B
5,SU +0.3σ,SU,0.3,-5.764795542676438,-0.01480042539697024,-5.749995117279468,0.0031360364838640196,0.9853085625471693,33,B
6,SU +0.3σ,SU,0.3,-6.882131338606996,-0.007139838558941847,-6.874991500048054,0.0010259550556452857,0.9928855895348971,33,B
7,SU +0.3σ,SU,0.3,-5.269522310798493,-0.01953422742008115,-5.249988083378412,0.005146068207203795,0.9806553293123216,33,B
8,SU +0.3σ,SU,0.3,-6.881899595575305,-0.006907871131261345,-6.874991724444044,0.00102619284113176,0.9931159333661826,33,B
9,SU +0.3σ,SU,0.3,-6.23161840737157,-0.044125253945821896,-6.1874931534257485,0.0019662670990173484,0.9568341027202003,33,B
0,refusal −0.2σ,refusal,-0.2,-4.33158210144029,-5.6441954472102225,1.3126133457699325,0.013146731565025048,0.003537993759094932,8160,Here
1,refusal −0.2σ,refusal,-0.2,-4.348172221914865,-5.910797962802462,1.5626257408875972,0.012930424942168403,0.0027100235263927764,8160,Here
2,refusal −0.2σ,refusal,-0.2,-4.375952564063482,-6.25119365597493,1.8752410919114482,0.012576156939798412,0.001928151212836242,8160,Here
3,refusal −0.2σ,refusal,-0.2,-4.487142710349872,-5.862253197192331,1.375110486842459,0.011252750285921882,0.0028448265007223004,8160,Here
4,refusal −0.2σ,refusal,-0.2,-4.422454406827455,-5.9851206651946995,1.5626662583672442,0.012004731600990368,0.0025159101173778367,8160,Here
5,refusal −0.2σ,refusal,-0.2,-4.408812916837633,-5.783946880954318,1.375133964116685,0.01216961610517047,0.0030765486424012213,8160,Here
6,refusal −0.2σ,refusal,-0.2,-4.374228050321108,-5.624389660224551,1.2501616099034436,0.012597863406437869,0.0036087650368357804,8160,Here
7,refusal −0.2σ,refusal,-0.2,-4.351737531280378,-6.101867325764033,1.7501297944836551,0.012884406061542213,0.0022386834627089723,8160,Here
8,refusal −0.2σ,refusal,-0.2,-4.745874091080623,-5.8085302212275565,1.0626561301469337,0.008687465050349922,0.0030018388706034033,8160,Here
9,refusal −0.2σ,refusal,-0.2,-4.585461569571635,-6.523192774417112,1.937731204845477,0.010199041134099444,0.0014689715125075803,8160,Here
0,refusal −0.1σ,refusal,-0.1,-4.023394227031531,-0.02339481748867911,-3.999999409542852,0.017892131799756482,0.9768767196118832,33,B
1,refusal −0.1σ,refusal,-0.1,-3.7807049751322666,-0.030705582352993588,-3.749999392779273,0.0228066076651784,0.9697610458151251,33,B
2,refusal −0.1σ,refusal,-0.1,-3.6749353409086325,-0.04993759469471115,-3.6249977462139213,0.02535104464524426,0.9512887881156327,33,B
3,refusal −0.1σ,refusal,-0.1,-3.6598601341295307,-0.03486064821800028,-3.6249994859115304,0.02573611207835916,0.9657399844689728,33,B
4,refusal −0.1σ,refusal,-0.1,-3.912827134145118,-0.03782860562910173,-3.8749985285160164,0.019983923890157615,0.9628779586112094,33,B
5,refusal −0.1σ,refusal,-0.1,-3.658292531971256,-0.03329303860914479,-3.624999493362111,0.02577648770138753,0.9672550749732335,33,B
6,refusal −0.1σ,refusal,-0.1,-4.268076062204955,-0.0180765260025737,-4.249999536202381,0.014008709128033706,0.9820858743764174,33,B
7,refusal −0.1σ,refusal,-0.1,-3.1833744049113193,-0.058374885472176175,-3.124999519439143,0.041445564775995716,0.9432962530822645,33,B
8,refusal −0.1σ,refusal,-0.1,-4.765536427501502,-0.015537373723418568,-4.749999053778083,0.008518317556785567,0.9845827085422625,33,B
9,refusal −0.1σ,refusal,-0.1,-3.565799951563804,-0.06580086053122614,-3.499999091032578,0.028274358317922993,0.9363173034577188,33,B
0,refusal +0.1σ,refusal,0.1,-11.183560968300299,-4.6210274724362534,-6.562533495864045,1.390084444407941e-05,0.00984267778383006,40,I
1,refusal +0.1σ,refusal,0.1,-10.873035908727616,-4.43550539296848,-6.437530515759136,1.8962714363968718e-05,0.011849075954455054,40,I
2,refusal +0.1σ,refusal,0.1,-10.953199387360655,-5.328176381131925,-5.62502300622873,1.7501930175734903e-05,0.004852911809305203,40,I
3,refusal +0.1σ,refusal,0.1,-10.92731452055159,-4.61478698458086,-6.31252753597073,1.796087960425273e-05,0.009904292949390775,40,I
4,refusal +0.1σ,refusal,0.1,-11.454998852525023,-5.517466906807385,-5.937531945717637,1.0596372286715747e-05,0.004016007990985809,40,I
5,refusal +0.1σ,refusal,0.1,-10.746743083735055,-4.621713163789536,-6.1250299199455185,2.151536808044873e-05,0.00983593105813062,40,I
6,refusal +0.1σ,refusal,0.1,-11.06461095908162,-4.314580920159642,-6.750030038921977,1.5656710309871526e-05,0.013372152311486234,40,I
7,refusal +0.1σ,refusal,0.1,-11.079387070414668,-5.454342608914885,-5.625044461499783,1.5427065819741415e-05,0.004277687971523217,40,I
8,refusal +0.1σ,refusal,0.1,-11.249812007579749,-4.687286736389069,-6.56252527119068,1.300974315729537e-05,0.009211645903371873,40,I
9,refusal +0.1σ,refusal,0.1,-11.24375403081649,-5.743718985817395,-5.500035044999095,1.3088795084646773e-05,0.0032028348016486124,40,I
0,refusal +0.2σ,refusal,0.2,-11.692205160856247,-10.025436475872993,-1.6667686849832535,8.358720767178433e-06,4.4259679004114386e-05,40,I
1,refusal +0.2σ,refusal,0.2,-11.700381055474281,-10.040064886212349,-1.6603161692619324,8.290659357631833e-06,4.3616942824018134e-05,40,I
2,refusal +0.2σ,refusal,0.2,-11.506188437342644,-9.97944538295269,-1.5267430543899536,1.0067597724470156e-05,4.634276454184072e-05,353, I
3,refusal +0.2σ,refusal,0.2,-11.731295868754387,-10.066516876220703,-1.6647789925336838,8.038276457158066e-06,4.247831378179162e-05,40,I
4,refusal +0.2σ,refusal,0.2,-11.72215187549591,-10.17818646132946,-1.5439654141664505,8.11211548016764e-06,3.799004290727051e-05,40,I
5,refusal +0.2σ,refusal,0.2,-11.36391469091177,-9.728399395942688,-1.6355152949690819,1.1606854944350885e-05,5.956756187249173e-05,40,I
6,refusal +0.2σ,refusal,0.2,-11.41892296075821,-9.776203900575638,-1.6427190601825714,1.0985624969471378e-05,5.678695633629056e-05,40,I
7,refusal +0.2σ,refusal,0.2,-11.555247098207474,-9.98789867758751,-1.5673484206199646,9.585614257720969e-06,4.595266662824799e-05,40,I
8,refusal +0.2σ,refusal,0.2,-11.758226864039898,-9.974585421383381,-1.783641442656517,7.824686673696323e-06,4.6568536774336004e-05,40,I
9,refusal +0.2σ,refusal,0.2,-11.862260043621063,-10.226724416017532,-1.6355356276035309,7.051571602655846e-06,3.6190119585387346e-05,353, I
