idx,condition,method,k,logp_A,logp_B,logit_diff_A_minus_B,p_A,p_B,top_token_id,top_token
0,baseline,,0.0,-9.000393152243305,-0.0003939080379495863,-8.999999244205355,0.0001233612947817529,0.9996061695336359,33,B
1,baseline,,0.0,-7.876055717481904,-0.0010570620722774038,-7.874998655409627,0.0003797278608430874,0.9989434964210302,33,B
2,baseline,,0.0,-8.751946926122628,-0.0019481222868762416,-8.749998803835751,0.00015815311275316432,0.9980537740717,33,B
3,baseline,,0.0,-7.875869989401508,-0.0008710380679985974,-7.8749989513335095,0.00037979839351950126,0.9991293411755395,33,B
4,baseline,,0.0,-7.877880334911424,-0.0028819933477279847,-7.874998341563696,0.00037903563448590534,0.9971221556083885,33,B
5,baseline,,0.0,-7.751347541820451,-0.001348296071682853,-7.749999245748768,0.00043016248789880967,0.9986526124710915,33,B
6,baseline,,0.0,-9.125518321996651,-0.000519258788017396,-9.124999063208634,0.00010885233467108445,0.9994808760034954,33,B
7,baseline,,0.0,-7.376672029526162,-0.0016738361637180788,-7.374998193362444,0.0006256796684802587,0.9983275639187549,33,B
8,baseline,,0.0,-8.875440120699977,-0.0004410955021967311,-8.87499902519778,0.0001397800949407488,0.9995590017661222,33,B
9,baseline,,0.0,-8.00743854054872,-0.00744170095276786,-7.999996839595951,0.0003329765334627752,0.99258591994581,33,B
0,SU −0.3σ,SU,-0.3,-7.502093077946483,-0.0021030580246588215,-7.499990019921825,0.0005519279321297823,0.9978991518524307,33,B
1,SU −0.3σ,SU,-0.3,-6.753649593429145,-0.003661593742435798,-6.749987999686709,0.001166614174527621,0.9963451017174206,33,B
2,SU −0.3σ,SU,-0.3,-7.631559968252986,-0.006564957246155245,-7.624995011006831,0.0004849038334405836,0.9934565450061468,33,B
3,SU −0.3σ,SU,-0.3,-6.753576994855393,-0.0035841452663589735,-6.7499928495890344,0.0011666988721272353,0.996422270115444,33,B
4,SU −0.3σ,SU,-0.3,-6.883787993952865,-0.00880625472200336,-6.874981739230861,0.0010242568088109822,0.9912324067682329,33,B
5,SU −0.3σ,SU,-0.3,-6.6296142349347065,-0.004622680764441611,-6.624991554170265,0.001320672457062039,0.9953879873794783,33,B
6,SU −0.3σ,SU,-0.3,-7.752444149027724,-0.002456667622027453,-7.749987481405697,0.0004296910271651466,0.9975463475163054,33,B
7,SU −0.3σ,SU,-0.3,-6.380465749309224,-0.005485853711434174,-6.374979895597789,0.0016943336381037,0.994529166105979,33,B
8,SU −0.3σ,SU,-0.3,-7.377737880382483,-0.0027420183396316133,-7.3749958620428515,0.0006250131425415476,0.9972617375589573,33,B
9,SU −0.3σ,SU,-0.3,-7.079809669274255,-0.01733238256565528,-7.062477286708599,0.0008419333789207069,0.982816959116544,33,B
0,SU −0.15σ,SU,-0.15,-8.250965595369053,-0.0009701202579890378,-8.249995475111064,0.00026100640900481693,0.9990303501565366,33,B
1,SU −0.15σ,SU,-0.15,-7.1272845269413665,-0.0022876021266711177,-7.124996924814695,0.0008028966742604169,0.997715012440997,33,B
2,SU −0.15σ,SU,-0.15,-8.128759026568332,-0.0037618116693920456,-8.12499721489894,0.0002949339790304016,0.9962452550800885,33,B
3,SU −0.15σ,SU,-0.15,-7.2518448830305715,-0.0018473313366484945,-7.249997551693923,0.0007088654079933748,0.9981543739296596,33,B
4,SU −0.15σ,SU,-0.15,-7.380056381934992,-0.0050646047693589935,-7.374991777165633,0.000623565727166,0.9949481987173897,33,B
5,SU −0.15σ,SU,-0.15,-7.252605796016724,-0.0026106956329385866,-7.249995100383785,0.0007083262282594442,0.9973927092692064,33,B
6,SU −0.15σ,SU,-0.15,-8.126388430685438,-0.0013898314955440583,-8.124998599189894,0.00029563397768596545,0.998611133872964,33,B
7,SU −0.15σ,SU,-0.15,-6.8780306581047626,-0.003037545311599388,-6.874993112793163,0.001030170807356035,0.9969670633616284,33,B
8,SU −0.15σ,SU,-0.15,-8.126136183780545,-0.0011377927421563072,-8.124998391038389,0.00029570855984798215,0.998862854298583,33,B
9,SU −0.15σ,SU,-0.15,-7.511901856178156,-0.011910283437828184,-7.499991572740328,0.000546540657925983,0.9881603632358317,33,B
0,SU +0.15σ,SU,0.15,-10.12510430812847,-0.00010430264239857934,-10.125000005486072,4.006111847471475e-05,0.9998957027969329,33,B
1,SU +0.15σ,SU,0.15,-8.750394701958385,-0.00039521959865851386,-8.749999482359726,0.00015839879246209207,0.9996048584903193,33,B
2,SU +0.15σ,SU,0.15,-9.375826835632779,-0.000826850824637404,-9.374999984808142,8.474813349256578e-05,0.999173490922308,33,B
3,SU +0.15σ,SU,0.15,-8.625356912613142,-0.00035672954993515305,-8.625000183063207,0.00017949612955912075,0.9996433340704854,33,B
4,SU +0.15σ,SU,0.15,-8.62615954876378,-0.0011603033658502682,-8.62499924539793,0.00017935211727909938,0.9988403695258221,33,B
5,SU +0.15σ,SU,0.15,-8.625513792038646,-0.0005138979761909468,-8.624999894062455,0.00017946797251812335,0.9994862340467576,33,B
6,SU +0.15σ,SU,0.15,-10.125166177749861,-0.0001668790065423309,-10.124999298743319,4.0058639985154635e-05,0.9998331349169846,33,B
7,SU +0.15σ,SU,0.15,-8.125726461412796,-0.0007272686356145641,-8.124999192777182,0.00029582974308333255,0.9992729957601202,33,B
8,SU +0.15σ,SU,0.15,-10.000135898590202,-0.00013588930605124006,-10.00000000928415,4.539376039524853e-05,0.9998641199264823,33,B
9,SU +0.15σ,SU,0.15,-8.628456950195414,-0.0034581066615828604,-8.624998843533831,0.00017894054642085978,0.9965478657029173,33,B
0,SU +0.3σ,SU,0.3,-11.625021815300002,-2.1815059895402555e-05,-11.625000000240107,8.939581201910606e-06,0.9999781851780513,33,B
1,SU +0.3σ,SU,0.3,-9.750118017196684,-0.00011812941376376784,-9.74999988778292,5.828778436402345e-05,0.9998818775632407,33,B
2,SU +0.3σ,SU,0.3,-10.500250577926664,-0.00025042731432733945,-10.500000150612337,2.7529550187786355e-05,0.9997496040399751,33,B
3,SU +0.3σ,SU,0.3,-9.750102877616897,-0.00010275311798579878,-9.75000012449891,5.8288666823265464e-05,0.9998972521609351,33,B
4,SU +0.3σ,SU,0.3,-9.625395774841763,-0.0003960538016372084,-9.624999721040126,6.603036969746046e-05,0.9996040246173167,33,B
5,SU +0.3σ,SU,0.3,-9.625165700912504,-0.00016628312006616852,-9.624999417792438,6.604556331182746e-05,0.9998337307042056,33,B
6,SU +0.3σ,SU,0.3,-11.375039935112014,-3.9695900355241065e-05,-11.375000239211658,1.1478441488710848e-05,0.9999603048875165,33,B
7,SU +0.3σ,SU,0.3,-9.125243663787955,-0.00024399155526566574,-9.12499967223269,0.00010888223596446741,0.9997560382082531,33,B
8,SU +0.3σ,SU,0.3,-11.25003039836885,-3.0636318115284666e-05,-11.249999762050734,1.3006902259445502e-05,0.9999693641511719,33,B
9,SU +0.3σ,SU,0.3,-9.376514077187494,-0.0015145972141112907,-9.374999479973383,8.468991106227345e-05,0.9984865492093862,33,B
0,refusal −0.2σ,refusal,-0.2,-4.33158210144029,-5.6441954472102225,1.3126133457699325,0.013146731565025048,0.003537993759094932,8160,Here
1,refusal −0.2σ,refusal,-0.2,-4.348172221914865,-5.910797962802462,1.5626257408875972,0.012930424942168403,0.0027100235263927764,8160,Here
2,refusal −0.2σ,refusal,-0.2,-4.375952564063482,-6.25119365597493,1.8752410919114482,0.012576156939798412,0.001928151212836242,8160,Here
3,refusal −0.2σ,refusal,-0.2,-4.487142710349872,-5.862253197192331,1.375110486842459,0.011252750285921882,0.0028448265007223004,8160,Here
4,refusal −0.2σ,refusal,-0.2,-4.422454406827455,-5.9851206651946995,1.5626662583672442,0.012004731600990368,0.0025159101173778367,8160,Here
5,refusal −0.2σ,refusal,-0.2,-4.408812916837633,-5.783946880954318,1.375133964116685,0.01216961610517047,0.0030765486424012213,8160,Here
6,refusal −0.2σ,refusal,-0.2,-4.374228050321108,-5.624389660224551,1.2501616099034436,0.012597863406437869,0.0036087650368357804,8160,Here
7,refusal −0.2σ,refusal,-0.2,-4.351737531280378,-6.101867325764033,1.7501297944836551,0.012884406061542213,0.0022386834627089723,8160,Here
8,refusal −0.2σ,refusal,-0.2,-4.745874091080623,-5.8085302212275565,1.0626561301469337,0.008687465050349922,0.0030018388706034033,8160,Here
9,refusal −0.2σ,refusal,-0.2,-4.585461569571635,-6.523192774417112,1.937731204845477,0.010199041134099444,0.0014689715125075803,8160,Here
0,refusal −0.1σ,refusal,-0.1,-4.023394227031531,-0.02339481748867911,-3.999999409542852,0.017892131799756482,0.9768767196118832,33,B
1,refusal −0.1σ,refusal,-0.1,-3.7807049751322666,-0.030705582352993588,-3.749999392779273,0.0228066076651784,0.9697610458151251,33,B
2,refusal −0.1σ,refusal,-0.1,-3.6749353409086325,-0.04993759469471115,-3.6249977462139213,0.02535104464524426,0.9512887881156327,33,B
3,refusal −0.1σ,refusal,-0.1,-3.6598601341295307,-0.03486064821800028,-3.6249994859115304,0.02573611207835916,0.9657399844689728,33,B
4,refusal −0.1σ,refusal,-0.1,-3.912827134145118,-0.03782860562910173,-3.8749985285160164,0.019983923890157615,0.9628779586112094,33,B
5,refusal −0.1σ,refusal,-0.1,-3.658292531971256,-0.03329303860914479,-3.624999493362111,0.02577648770138753,0.9672550749732335,33,B
6,refusal −0.1σ,refusal,-0.1,-4.268076062204955,-0.0180765260025737,-4.249999536202381,0.014008709128033706,0.9820858743764174,33,B
7,refusal −0.1σ,refusal,-0.1,-3.1833744049113193,-0.058374885472176175,-3.124999519439143,0.041445564775995716,0.9432962530822645,33,B
8,refusal −0.1σ,refusal,-0.1,-4.765536427501502,-0.015537373723418568,-4.749999053778083,0.008518317556785567,0.9845827085422625,33,B
9,refusal −0.1σ,refusal,-0.1,-3.565799951563804,-0.06580086053122614,-3.499999091032578,0.028274358317922993,0.9363173034577188,33,B
0,refusal +0.1σ,refusal,0.1,-11.183560968300299,-4.6210274724362534,-6.562533495864045,1.390084444407941e-05,0.00984267778383006,40,I
1,refusal +0.1σ,refusal,0.1,-10.873035908727616,-4.43550539296848,-6.437530515759136,1.8962714363968718e-05,0.011849075954455054,40,I
2,refusal +0.1σ,refusal,0.1,-10.953199387360655,-5.328176381131925,-5.62502300622873,1.7501930175734903e-05,0.004852911809305203,40,I
3,refusal +0.1σ,refusal,0.1,-10.92731452055159,-4.61478698458086,-6.31252753597073,1.796087960425273e-05,0.009904292949390775,40,I
4,refusal +0.1σ,refusal,0.1,-11.454998852525023,-5.517466906807385,-5.937531945717637,1.0596372286715747e-05,0.004016007990985809,40,I
5,refusal +0.1σ,refusal,0.1,-10.746743083735055,-4.621713163789536,-6.1250299199455185,2.151536808044873e-05,0.00983593105813062,40,I
6,refusal +0.1σ,refusal,0.1,-11.06461095908162,-4.314580920159642,-6.750030038921977,1.5656710309871526e-05,0.013372152311486234,40,I
7,refusal +0.1σ,refusal,0.1,-11.079387070414668,-5.454342608914885,-5.625044461499783,1.5427065819741415e-05,0.004277687971523217,40,I
8,refusal +0.1σ,refusal,0.1,-11.249812007579749,-4.687286736389069,-6.56252527119068,1.300974315729537e-05,0.009211645903371873,40,I
9,refusal +0.1σ,refusal,0.1,-11.24375403081649,-5.743718985817395,-5.500035044999095,1.3088795084646773e-05,0.0032028348016486124,40,I
0,refusal +0.2σ,refusal,0.2,-11.692205160856247,-10.025436475872993,-1.6667686849832535,8.358720767178433e-06,4.4259679004114386e-05,40,I
1,refusal +0.2σ,refusal,0.2,-11.700381055474281,-10.040064886212349,-1.6603161692619324,8.290659357631833e-06,4.3616942824018134e-05,40,I
2,refusal +0.2σ,refusal,0.2,-11.506188437342644,-9.97944538295269,-1.5267430543899536,1.0067597724470156e-05,4.634276454184072e-05,353, I
3,refusal +0.2σ,refusal,0.2,-11.731295868754387,-10.066516876220703,-1.6647789925336838,8.038276457158066e-06,4.247831378179162e-05,40,I
4,refusal +0.2σ,refusal,0.2,-11.72215187549591,-10.17818646132946,-1.5439654141664505,8.11211548016764e-06,3.799004290727051e-05,40,I
5,refusal +0.2σ,refusal,0.2,-11.36391469091177,-9.728399395942688,-1.6355152949690819,1.1606854944350885e-05,5.956756187249173e-05,40,I
6,refusal +0.2σ,refusal,0.2,-11.41892296075821,-9.776203900575638,-1.6427190601825714,1.0985624969471378e-05,5.678695633629056e-05,40,I
7,refusal +0.2σ,refusal,0.2,-11.555247098207474,-9.98789867758751,-1.5673484206199646,9.585614257720969e-06,4.595266662824799e-05,40,I
8,refusal +0.2σ,refusal,0.2,-11.758226864039898,-9.974585421383381,-1.783641442656517,7.824686673696323e-06,4.6568536774336004e-05,40,I
9,refusal +0.2σ,refusal,0.2,-11.862260043621063,-10.226724416017532,-1.6355356276035309,7.051571602655846e-06,3.6190119585387346e-05,353, I
